"id","productId","code","name","days","limited","fup","data","dailyDataCap","reducedSpeed","price","reloadable","countryCodes","networks","networkSpeed","apn","hotspot","activation","delivery","seoText","planType","localNumber","eKYC","uniqueName","isPopular","supplier"
"19280","WM-e-TW-T10-7D","LeSIM-20020007","Taiwan","7","true","10 GB","10","","128","220","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t10-7d-taiwan-7-10-gb","true","WM"
"19281","WM-e-TW-T10-10D","LeSIM-20020010","Taiwan","10","true","10 GB","10","","128","228","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t10-10d-taiwan-10-10-gb","false","WM"
"19282","WM-e-TW-T10-15D","LeSIM-20020015","Taiwan","15","true","10 GB","10","","128","244","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t10-15d-taiwan-15-10-gb","false","WM"
"19283","WM-e-TW-T10-30D","LeSIM-20020030","Taiwan","30","true","10 GB","10","","128","262","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t10-30d-taiwan-30-10-gb","true","WM"
"19284","WM-e-TW-T20-3D","LeSIM-20030003","Taiwan","3","true","20 GB","20","","128","336","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t20-3d-taiwan-3-20-gb","false","WM"
"19285","WM-e-TW-T20-5D","LeSIM-20030005","Taiwan","5","true","20 GB","20","","128","362","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t20-5d-taiwan-5-20-gb","false","WM"
"19286","WM-e-TW-T20-7D","LeSIM-20030007","Taiwan","7","true","20 GB","20","","128","388","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t20-7d-taiwan-7-20-gb","false","WM"
"19287","WM-e-TW-T20-10D","LeSIM-20030010","Taiwan","10","true","20 GB","20","","128","412","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t20-10d-taiwan-10-20-gb","false","WM"
"19288","WM-e-TW-T20-15D","LeSIM-20030015","Taiwan","15","true","20 GB","20","","128","438","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t20-15d-taiwan-15-20-gb","false","WM"
"19289","WM-e-TW-T20-30D","LeSIM-20030030","Taiwan","30","true","20 GB","20","","128","462","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t20-30d-taiwan-30-20-gb","false","WM"
"19290","WM-e-TW-T5-3D","LeSIM-20040003","Taiwan","3","true","5 GB","5","","128","118","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t5-3d-taiwan-3-5-gb","false","WM"
"19291","WM-e-TW-T5-5D","LeSIM-20040005","Taiwan","5","true","5 GB","5","","128","126","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t5-5d-taiwan-5-5-gb","false","WM"
"19292","WM-e-TW-T5-7D","LeSIM-20040007","Taiwan","7","true","5 GB","5","","128","136","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t5-7d-taiwan-7-5-gb","false","WM"
"19293","WM-e-TW-T5-10D","LeSIM-20040010","Taiwan","10","true","5 GB","5","","128","144","false","[""TW""]","[""Chunghwa Telecom (Taiwan)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-tw-t5-10d-taiwan-10-5-gb","false","WM"
